名称,住所,避難場所面積,避難場所の収容可能人員,避難施設の収容可能人員,URL,コメント,電話番号,写真,担当課,経度,緯度,分類
指定避難所（川前小学校）,仙台市青葉区芋沢字赤坂16,"5,800(㎡)","2,900(人)",696(人),http://www.city.sendai.jp/kurashi/shobo/saigai/1188545_1388.html,避難のための広場と建物を備えた施設で，市立の小学校，中学校，高等学校が指定されています。,,/sendaicity-html/pict/80101_001.jpg,危機管理室減災推進課,140.7470507,38.29020863,指定避難所
指定避難所（大沢小学校）,仙台市青葉区芋沢字長坂22,"8,700(㎡)","4,300(人)",812(人),http://www.city.sendai.jp/kurashi/shobo/saigai/1188545_1388.html,避難のための広場と建物を備えた施設で，市立の小学校，中学校，高等学校が指定されています。,,/sendaicity-html/pict/80101_001.jpg,危機管理室減災推進課,140.7732849,38.29932196,指定避難所
指定避難所（大沢中学校）,仙台市青葉区赤坂1-2-1,"28,112(㎡)","14,000(人)",930(人),http://www.city.sendai.jp/kurashi/shobo/saigai/1188545_1388.html,避難のための広場と建物を備えた施設で，市立の小学校，中学校，高等学校が指定されています。,,/sendaicity-html/pict/80101_001.jpg,危機管理室減災推進課,140.7504532,38.29161409,指定避難所
指定避難所（吉成小学校）,仙台市青葉区吉成1-12-2,"11,112(㎡)","5,500(人)",801(人),http://www.city.sendai.jp/kurashi/shobo/saigai/1188545_1388.html,避難のための広場と建物を備えた施設で，市立の小学校，中学校，高等学校が指定されています。,,/sendaicity-html/pict/80101_001.jpg,危機管理室減災推進課,140.8252837,38.29036336,指定避難所
指定避難所（吉成中学校）,仙台市青葉区吉成1-12-1,"12,482(㎡)","6,200(人)",943(人),http://www.city.sendai.jp/kurashi/shobo/saigai/1188545_1388.html,避難のための広場と建物を備えた施設で，市立の小学校，中学校，高等学校が指定されています。,,/sendaicity-html/pict/80101_001.jpg,危機管理室減災推進課,140.8251144,38.28929404,指定避難所
指定避難所（南吉成小学校）,仙台市青葉区南吉成5-18-1,"11,429(㎡)","5,700(人)","1,078(人)",http://www.city.sendai.jp/kurashi/shobo/saigai/1188545_1388.html,避難のための広場と建物を備えた施設で，市立の小学校，中学校，高等学校が指定されています。,,/sendaicity-html/pict/80101_001.jpg,危機管理室減災推進課,140.8138514,38.29122144,指定避難所
指定避難所（第一中学校）,仙台市青葉区八幡4-16-1,"9,525(㎡)","4,700(人)","1,274(人)",http://www.city.sendai.jp/kurashi/shobo/saigai/1188545_1388.html,避難のための広場と建物を備えた施設で，市立の小学校，中学校，高等学校が指定されています。,,/sendaicity-html/pict/80101_001.jpg,危機管理室減災推進課,140.8465772,38.27257703,指定避難所
指定避難所（第二中学校）,仙台市青葉区木町通2-4-1,"7,641(㎡)","3,800(人)","1,030(人)",http://www.city.sendai.jp/kurashi/shobo/saigai/1188545_1388.html,避難のための広場と建物を備えた施設で，市立の小学校，中学校，高等学校が指定されています。,,/sendaicity-html/pict/80101_001.jpg,危機管理室減災推進課,140.8638557,38.27358045,指定避難所
指定避難所（栗生小学校）,仙台市青葉区栗生6-6-1,"8,260(㎡)","4,100(人)","1,108(人)",http://www.city.sendai.jp/kurashi/shobo/saigai/1188545_1388.html,避難のための広場と建物を備えた施設で，市立の小学校，中学校，高等学校が指定されています。,,/sendaicity-html/pict/80101_001.jpg,危機管理室減災推進課,140.7862072,38.26748774,指定避難所
指定避難所（上杉山通小学校）,仙台市青葉区上杉1-10-1,"4,726(㎡)","2,300(人)",862(人),http://www.city.sendai.jp/kurashi/shobo/saigai/1188545_1388.html,避難のための広場と建物を備えた施設で，市立の小学校，中学校，高等学校が指定されています。,,/sendaicity-html/pict/80101_001.jpg,危機管理室減災推進課,140.8735295,38.27150057,指定避難所
指定避難所（北仙台小学校）,仙台市青葉区東勝山3-6-1,"7,082(㎡)","3,500(人)",921(人),http://www.city.sendai.jp/kurashi/shobo/saigai/1188545_1388.html,避難のための広場と建物を備えた施設で，市立の小学校，中学校，高等学校が指定されています。,,/sendaicity-html/pict/80101_001.jpg,危機管理室減災推進課,140.8611379,38.29727188,指定避難所
指定避難所（桜丘中学校）,仙台市青葉区桜ケ丘8-2-1,"21,299(㎡)","10,600(人)",843(人),http://www.city.sendai.jp/kurashi/shobo/saigai/1188545_1388.html,避難のための広場と建物を備えた施設で，市立の小学校，中学校，高等学校が指定されています。,,/sendaicity-html/pict/80101_001.jpg,危機管理室減災推進課,140.8515996,38.30411774,指定避難所
