名称,住所,避難場所面積,避難場所の収容可能人員,避難施設の収容可能人員,URL,コメント,電話番号,写真,担当課,経度,緯度,分類
地域避難場所（六丁の目南町公園）,仙台市若林区六丁の目南町6-2,"2,564(㎡)","1,200(人)",,http://www.city.sendai.jp/kurashi/shobo/saigai/1188545_1388.html,指定避難所の確保がむずかしい地域の一時的な避難広場で，比較的大きい公園などが指定されています。,,,危機管理室減災推進課,140.9414796,38.24942013,地域避難場所
地域避難場所（六丁の目中町公園）,仙台市若林区六丁の目中町29-1,"2,640(㎡)","1,300(人)",,http://www.city.sendai.jp/kurashi/shobo/saigai/1188545_1388.html,指定避難所の確保がむずかしい地域の一時的な避難広場で，比較的大きい公園などが指定されています。,,,危機管理室減災推進課,140.9447135,38.2528859,地域避難場所
地域避難場所（六丁の目北町公園）,仙台市若林区六丁の目北町9-3,"2,785(㎡)","1,400(人)",,http://www.city.sendai.jp/kurashi/shobo/saigai/1188545_1388.html,指定避難所の確保がむずかしい地域の一時的な避難広場で，比較的大きい公園などが指定されています。,,,危機管理室減災推進課,140.949436,38.25156775,地域避難場所
地域避難場所（六丁の目中町西公園）,仙台市若林区六丁の目中町9-1,"5,346(㎡)","2,700(人)",,http://www.city.sendai.jp/kurashi/shobo/saigai/1188545_1388.html,指定避難所の確保がむずかしい地域の一時的な避難広場で，比較的大きい公園などが指定されています。,,,危機管理室減災推進課,140.9390043,38.25298929,地域避難場所
地域避難場所（卸町東二丁目公園）,仙台市若林区卸町東2-4-1,"33,009(㎡)","16,500(人)",,http://www.city.sendai.jp/kurashi/shobo/saigai/1188545_1388.html,指定避難所の確保がむずかしい地域の一時的な避難広場で，比較的大きい公園などが指定されています。,,,危機管理室減災推進課,140.9479717,38.25918614,地域避難場所
地域避難場所（南小泉公園）,仙台市若林区古城3-209-7 外,"21,104(㎡)","10,500(人)",,http://www.city.sendai.jp/kurashi/shobo/saigai/1188545_1388.html,指定避難所の確保がむずかしい地域の一時的な避難広場で，比較的大きい公園などが指定されています。,,,危機管理室減災推進課,140.9068908,38.23369314,地域避難場所
地域避難場所（広瀬川愛宕緑地）,仙台市太白区越路地内,"11,066(㎡)","5,500(人)",,http://www.city.sendai.jp/kurashi/shobo/saigai/1188545_1388.html,指定避難所の確保がむずかしい地域の一時的な避難広場で，比較的大きい公園などが指定されています。,,,危機管理室減災推進課,140.8745366,38.24687935,地域避難場所
地域避難場所（宮城県仙台南高等学校）,仙台市太白区根岸町14-1,"12,000(㎡)","6,000(人)",,http://www.city.sendai.jp/kurashi/shobo/saigai/1188545_1388.html,指定避難所の確保がむずかしい地域の一時的な避難広場で，比較的大きい公園などが指定されています。,,,危機管理室減災推進課,140.8835212,38.23638331,地域避難場所
地域避難場所（東北郵政研修センター）,仙台市太白区八木山本町2-11-1,"11,533(㎡)","5,700(人)",,http://www.city.sendai.jp/kurashi/shobo/saigai/1188545_1388.html,指定避難所の確保がむずかしい地域の一時的な避難広場で，比較的大きい公園などが指定されています。,,,危機管理室減災推進課,140.840662,38.23988854,地域避難場所
地域避難場所（仙台城南高等学校グラウンド）,仙台市太白区八木山香澄町19-212,"15,000(㎡)","7,500(人)",,http://www.city.sendai.jp/kurashi/shobo/saigai/1188545_1388.html,指定避難所の確保がむずかしい地域の一時的な避難広場で，比較的大きい公園などが指定されています。,,,危機管理室減災推進課,140.862441,38.24545622,地域避難場所
